claim_id,policy_id,customer_id,vehicle_id,repair_shop_id,incident_date,claim_date,claim_type,claim_amount,description,previous_claim_count,days_since_previous_claim,customer_claim_frequency,customer_avg_claim_amount_prior,repair_shop_claim_count_prior,policy_age_days,claim_amount_vs_vehicle_value,claim_amount_vs_customer_average,investigation_probability_synthetic,investigation_label,repair_shop_investigation_rate_prior,investigation_status,status
CL013168,P002017,C004006,V009786,RS00317,2023-09-22,2023-09-27,ACCIDENT,455400.0,Accident claim reported for V009786.,0,-1.0,0.0,455400.0,0,7,0.7878892733564014,1.0,0.1451510090514133,1,0.0,FLAGGED,UNDER_REVIEW
CL002650,P009066,C003754,V007453,RS00476,2023-09-30,2023-09-30,VANDALISM,72000.0,Vandalism claim reported for V007453.,0,-1.0,0.0,72000.0,0,10,0.08685162846803378,1.0,0.06663197108507482,0,0.0,NOT_FLAGGED,CLOSED
CL004183,P008705,C000711,V010238,RS00269,2023-09-28,2023-10-01,ACCIDENT,211700.0,Accident claim reported for V010238.,0,-1.0,0.0,211700.0,0,4,0.5373096446700507,1.0,0.011841001824053718,0,0.0,NOT_FLAGGED,CLOSED
CL023497,P000546,C000995,V008607,RS00179,2023-09-30,2023-10-02,ACCIDENT,78500.0,Accident claim reported for V008607.,0,-1.0,0.0,78500.0,0,5,0.056515478761699066,1.0,0.030838561945673915,0,0.0,NOT_FLAGGED,CLOSED
CL028281,P008038,C004561,V004276,RS00241,2023-09-30,2023-10-03,ACCIDENT,332500.0,Accident claim reported for V004276.,0,-1.0,0.0,332500.0,0,6,0.8291770573566085,1.0,0.35982978676180244,1,0.0,INVESTIGATED,UNDER_REVIEW
CL004064,P009142,C007756,V001162,RS00133,2023-10-02,2023-10-05,NATURAL_DISASTER,157300.0,Natural_Disaster claim reported for V001162.,0,-1.0,0.0,157300.0,0,10,0.4251351351351351,1.0,0.04249213443044,0,0.0,NOT_FLAGGED,CLOSED
CL025345,P000201,C002279,V001386,RS00029,2023-09-29,2023-10-06,ACCIDENT,240900.0,Accident claim reported for V001386.,0,-1.0,0.0,240900.0,0,9,0.26946308724832213,1.0,0.022490460959448087,0,0.0,NOT_FLAGGED,CLOSED
CL000626,P011639,C009074,V002091,RS00005,2023-10-05,2023-10-07,ACCIDENT,476900.0,Accident claim reported for V002091.,0,-1.0,0.0,476900.0,0,7,0.4323662737987307,1.0,0.06334422542443538,1,0.0,INVESTIGATED,UNDER_REVIEW
CL016135,P006824,C001622,V008075,RS00178,2023-10-05,2023-10-10,ACCIDENT,111300.0,Accident claim reported for V008075.,0,-1.0,0.0,111300.0,0,20,0.29759358288770055,1.0,0.021956589292564457,0,0.0,NOT_FLAGGED,CLOSED
CL007462,P006824,C001622,V008075,RS00429,2023-10-09,2023-10-10,ACCIDENT,17800.0,Accident claim reported for V008075.,1,0.0,1.0,111300.0,0,20,0.04759358288770053,0.15992812219227315,0.46951453602608234,1,0.0,INVESTIGATED,UNDER_REVIEW
CL016900,P007109,C005521,V002887,RS00379,2023-10-10,2023-10-10,NATURAL_DISASTER,258200.0,Natural_Disaster claim reported for V002887.,0,-1.0,0.0,258200.0,0,6,0.2865704772475028,1.0,0.030414793475110263,0,0.0,NOT_FLAGGED,CLOSED
CL027073,P005033,C003036,V004478,RS00011,2023-10-10,2023-10-10,ACCIDENT,550500.0,Accident claim reported for V004478.,0,-1.0,0.0,550500.0,0,9,0.33063063063063064,1.0,0.0376568651327891,0,0.0,NOT_FLAGGED,CLOSED
