policy_id,customer_id,vehicle_id,policy_type,policy_version_id,coverage_limit,deductible,start_date,end_date,status
P000001,C004185,V011500,COMPREHENSIVE,PV-COMP-V2,744000.0,27100.0,2024-11-05,2025-11-05,EXPIRED
P000002,C003874,V006476,THEFT,PV-THEFT-V1,731000.0,32000.0,2023-10-09,2024-10-08,EXPIRED
P000003,C006911,V013168,COMPREHENSIVE,PV-COMP-V1,406000.0,9800.0,2025-05-02,2026-05-02,EXPIRED
P000004,C004046,V000863,COMPREHENSIVE,PV-COMP-V2,643000.0,22300.0,2024-02-19,2025-02-18,EXPIRED
P000005,C000603,V005971,COMPREHENSIVE,PV-COMP-V1,482000.0,16100.0,2026-03-24,2027-03-24,ACTIVE
P000006,C004002,V006707,COMPREHENSIVE,PV-COMP-V2,780000.0,36100.0,2026-07-24,2027-07-24,ACTIVE
P000007,C003571,V003018,THIRD_PARTY,PV-TP-V1,556000.0,26400.0,2024-03-04,2025-03-04,EXPIRED
P000008,C002720,V003782,COMPREHENSIVE,PV-COMP-V1,726000.0,11000.0,2025-09-14,2026-09-14,EXPIRED
P000009,C007131,V003899,COMPREHENSIVE,PV-COMP-V1,636000.0,11500.0,2025-09-06,2026-09-06,EXPIRED
P000010,C007468,V002251,COMPREHENSIVE,PV-COMP-V1,353000.0,15000.0,2025-05-05,2026-05-05,EXPIRED
P000011,C006446,V000543,COMPREHENSIVE,PV-COMP-V2,626000.0,29600.0,2024-10-03,2025-10-03,EXPIRED
P000012,C002750,V004352,COMMERCIAL,PV-COMM-V1,1733000.0,46900.0,2025-05-26,2026-05-26,EXPIRED
P000013,C005100,V012808,COMPREHENSIVE,PV-COMP-V2,435000.0,8000.0,2024-02-06,2025-02-05,EXPIRED
P000014,C006764,V006632,COMPREHENSIVE,PV-COMP-V2,599000.0,17500.0,2023-12-14,2024-12-13,EXPIRED
P000015,C005349,V006706,THIRD_PARTY,PV-TP-V1,2448000.0,65000.0,2024-12-22,2025-12-22,EXPIRED
P000016,C003391,V006979,COMPREHENSIVE,PV-COMP-V1,1089000.0,37200.0,2025-11-17,2026-11-17,ACTIVE
P000017,C006597,V007400,COMPREHENSIVE,PV-COMP-V2,417000.0,19400.0,2026-04-03,2027-04-03,ACTIVE
P000018,C002015,V011120,THEFT,PV-THEFT-V1,385000.0,16000.0,2025-08-18,2026-08-18,EXPIRED
P000019,C003660,V012666,COMPREHENSIVE,PV-COMP-V2,494000.0,10000.0,2026-08-12,2027-08-12,ACTIVE
