repair_shop_id,name,city,registration_number
RS00001,Fowler Auto Works,Surat,REG-RS-00001
RS00002,North Motors,Vadodara,REG-RS-00002
RS00003,Figueroa Auto Works,Chennai,REG-RS-00003
RS00004,East Motors,Surat,REG-RS-00004
RS00005,Walker Auto Works,Delhi,REG-RS-00005
RS00006,Lake Motors,Jaipur,REG-RS-00006
RS00007,Garcia Auto Works,Surat,REG-RS-00007
RS00008,Lake Motors,Chennai,REG-RS-00008
RS00009,Mcclain Auto Works,Vadodara,REG-RS-00009
RS00010,North Motors,Chennai,REG-RS-00010
RS00011,Garza Auto Works,Bengaluru,REG-RS-00011
RS00012,North Motors,Vadodara,REG-RS-00012
RS00013,Johnson Auto Works,Bengaluru,REG-RS-00013
RS00014,East Motors,Hyderabad,REG-RS-00014
RS00015,Hall Auto Works,Chennai,REG-RS-00015
RS00016,New Motors,Surat,REG-RS-00016
RS00017,Johnson Auto Works,Hyderabad,REG-RS-00017
RS00018,East Motors,Ahmedabad,REG-RS-00018
RS00019,Baldwin Auto Works,Mumbai,REG-RS-00019
RS00020,Lake Motors,Delhi,REG-RS-00020
RS00021,Gardner Auto Works,Mumbai,REG-RS-00021
RS00022,East Motors,Mumbai,REG-RS-00022
RS00023,Cole Auto Works,Surat,REG-RS-00023
RS00024,West Motors,Surat,REG-RS-00024
RS00025,Pacheco Auto Works,Surat,REG-RS-00025
RS00026,North Motors,Mumbai,REG-RS-00026
RS00027,Blake Auto Works,Mumbai,REG-RS-00027
RS00028,East Motors,Bengaluru,REG-RS-00028
RS00029,Wolfe Auto Works,Chennai,REG-RS-00029
RS00030,West Motors,Hyderabad,REG-RS-00030
RS00031,Ramirez Auto Works,Ahmedabad,REG-RS-00031
RS00032,East Motors,Delhi,REG-RS-00032
RS00033,Bernard Auto Works,Vadodara,REG-RS-00033
RS00034,West Motors,Hyderabad,REG-RS-00034
RS00035,Garcia Auto Works,Mumbai,REG-RS-00035
RS00036,South Motors,Vadodara,REG-RS-00036
RS00037,Davis Auto Works,Jaipur,REG-RS-00037
RS00038,Port Motors,Mumbai,REG-RS-00038
RS00039,Cooper Auto Works,Ahmedabad,REG-RS-00039
RS00040,West Motors,Surat,REG-RS-00040
RS00041,Roman Auto Works,Vadodara,REG-RS-00041
RS00042,Lake Motors,Surat,REG-RS-00042
RS00043,Stevens Auto Works,Ahmedabad,REG-RS-00043
RS00044,North Motors,Hyderabad,REG-RS-00044
RS00045,Dudley Auto Works,Vadodara,REG-RS-00045
RS00046,South Motors,Delhi,REG-RS-00046
RS00047,Miller Auto Works,Bengaluru,REG-RS-00047
RS00048,West Motors,Pune,REG-RS-00048
RS00049,Calderon Auto Works,Pune,REG-RS-00049
RS00050,New Motors,Delhi,REG-RS-00050
RS00051,Mcclure Auto Works,Chennai,REG-RS-00051
RS00052,West Motors,Hyderabad,REG-RS-00052
RS00053,Ray Auto Works,Chennai,REG-RS-00053
RS00054,Lake Motors,Jaipur,REG-RS-00054
RS00055,Jones Auto Works,Mumbai,REG-RS-00055
RS00056,Lake Motors,Jaipur,REG-RS-00056
RS00057,Perez Auto Works,Ahmedabad,REG-RS-00057
RS00058,West Motors,Vadodara,REG-RS-00058
RS00059,Galloway Auto Works,Ahmedabad,REG-RS-00059
RS00060,Port Motors,Hyderabad,REG-RS-00060
RS00061,Hall Auto Works,Vadodara,REG-RS-00061
RS00062,North Motors,Pune,REG-RS-00062
RS00063,James Auto Works,Delhi,REG-RS-00063
RS00064,South Motors,Vadodara,REG-RS-00064
RS00065,Reid Auto Works,Vadodara,REG-RS-00065
RS00066,West Motors,Hyderabad,REG-RS-00066
RS00067,Martin Auto Works,Jaipur,REG-RS-00067
RS00068,West Motors,Pune,REG-RS-00068
RS00069,Clark Auto Works,Hyderabad,REG-RS-00069
RS00070,West Motors,Mumbai,REG-RS-00070
RS00071,Miles Auto Works,Pune,REG-RS-00071
RS00072,Lake Motors,Bengaluru,REG-RS-00072
RS00073,Wong Auto Works,Vadodara,REG-RS-00073
RS00074,New Motors,Chennai,REG-RS-00074
RS00075,Reid Auto Works,Ahmedabad,REG-RS-00075
RS00076,New Motors,Delhi,REG-RS-00076
RS00077,Daniel Auto Works,Vadodara,REG-RS-00077
RS00078,East Motors,Delhi,REG-RS-00078
RS00079,Ford Auto Works,Ahmedabad,REG-RS-00079
RS00080,West Motors,Surat,REG-RS-00080
RS00081,Mayo Auto Works,Jaipur,REG-RS-00081
RS00082,Lake Motors,Jaipur,REG-RS-00082
RS00083,Watts Auto Works,Jaipur,REG-RS-00083
RS00084,East Motors,Chennai,REG-RS-00084
RS00085,Cohen Auto Works,Bengaluru,REG-RS-00085
RS00086,Port Motors,Surat,REG-RS-00086
RS00087,Tate Auto Works,Surat,REG-RS-00087
RS00088,North Motors,Jaipur,REG-RS-00088
RS00089,Perez Auto Works,Pune,REG-RS-00089
RS00090,North Motors,Delhi,REG-RS-00090
RS00091,Trujillo Auto Works,Chennai,REG-RS-00091
RS00092,South Motors,Ahmedabad,REG-RS-00092
RS00093,Adams Auto Works,Surat,REG-RS-00093
RS00094,East Motors,Hyderabad,REG-RS-00094
