vehicle_id,customer_id,make,model,manufacture_year,registration_number,vehicle_value
V000001,C009899,Maruti Suzuki,Dzire,2012,REG-V-000001,351000.0
V000002,C005584,Honda,Civic,2022,REG-V-000002,799000.0
V000003,C005509,Toyota,Fortuner,2013,REG-V-000003,995000.0
V000004,C008150,Toyota,Innova,2025,REG-V-000004,2613000.0
V000005,C001776,Toyota,Glanza,2016,REG-V-000005,607000.0
V000006,C004071,Tata,Harrier,2017,REG-V-000006,626000.0
V000007,C006461,Kia,Carens,2014,REG-V-000007,516000.0
V000008,C009884,Mahindra,XUV700,2018,REG-V-000008,1564000.0
V000009,C001536,Maruti Suzuki,Swift,2013,REG-V-000009,306000.0
V000010,C004544,Hyundai,i20,2021,REG-V-000010,765000.0
V000011,C009104,Toyota,Innova,2019,REG-V-000011,969000.0
V000012,C007312,Toyota,Innova,2012,REG-V-000012,734000.0
V000013,C006185,Hyundai,i20,2015,REG-V-000013,547000.0
V000014,C002583,Honda,Civic,2012,REG-V-000014,490000.0
V000015,C001880,Hyundai,Venue,2020,REG-V-000015,914000.0
V000016,C003751,Maruti Suzuki,Brezza,2013,REG-V-000016,371000.0
V000017,C002568,Volkswagen,Virtus,2014,REG-V-000017,704000.0
V000018,C008138,Tata,Altroz,2017,REG-V-000018,461000.0
V000019,C007259,Hyundai,Creta,2018,REG-V-000019,757000.0
V000020,C008390,Toyota,Innova,2021,REG-V-000020,2607000.0
V000021,C001712,Honda,Civic,2024,REG-V-000021,1613000.0
V000022,C003089,Hyundai,Venue,2013,REG-V-000022,546000.0
V000023,C007754,Toyota,Innova,2016,REG-V-000023,1033000.0
V000024,C001630,Tata,Punch,2014,REG-V-000024,558000.0
V000025,C001447,Kia,Seltos,2015,REG-V-000025,821000.0
V000026,C003834,Honda,Civic,2020,REG-V-000026,1010000.0
V000027,C001873,Volkswagen,Taigun,2018,REG-V-000027,719000.0
V000028,C000798,Maruti Suzuki,Baleno,2013,REG-V-000028,214000.0
V000029,C003110,Volkswagen,Polo,2013,REG-V-000029,429000.0
V000030,C008804,Mahindra,XUV700,2021,REG-V-000030,1669000.0
V000031,C000587,Tata,Harrier,2018,REG-V-000031,425000.0
V000032,C005712,Toyota,Innova,2022,REG-V-000032,1786000.0
V000033,C005672,Maruti Suzuki,Brezza,2020,REG-V-000033,615000.0
V000034,C005353,Toyota,Innova,2017,REG-V-000034,1094000.0
V000035,C005096,Volkswagen,Virtus,2019,REG-V-000035,927000.0
V000036,C000182,Mahindra,Scorpio,2023,REG-V-000036,838000.0
V000037,C000494,Mahindra,XUV300,2019,REG-V-000037,839000.0
V000038,C005143,Volkswagen,Virtus,2013,REG-V-000038,555000.0
V000039,C009681,Maruti Suzuki,Swift,2018,REG-V-000039,451000.0
V000040,C004095,Hyundai,Creta,2020,REG-V-000040,586000.0
V000041,C004763,Mahindra,XUV300,2022,REG-V-000041,930000.0
V000042,C009817,Hyundai,i20,2014,REG-V-000042,538000.0
V000043,C007863,Toyota,Glanza,2017,REG-V-000043,1560000.0
V000044,C007770,Maruti Suzuki,Ertiga,2013,REG-V-000044,191000.0
V000045,C005088,Maruti Suzuki,Swift,2025,REG-V-000045,715000.0
V000046,C009029,Kia,Sonet,2019,REG-V-000046,578000.0
V000047,C005859,Maruti Suzuki,Brezza,2020,REG-V-000047,430000.0
V000048,C006604,Volkswagen,Polo,2021,REG-V-000048,1243000.0
V000049,C007946,Volkswagen,Taigun,2015,REG-V-000049,468000.0
V000050,C004082,Honda,Amaze,2017,REG-V-000050,778000.0
V000051,C009542,Volkswagen,Virtus,2016,REG-V-000051,841000.0
V000052,C009883,Maruti Suzuki,Dzire,2024,REG-V-000052,700000.0
V000053,C005916,Maruti Suzuki,Dzire,2020,REG-V-000053,548000.0
V000054,C002243,Honda,Civic,2013,REG-V-000054,467000.0
V000055,C007822,Tata,Harrier,2021,REG-V-000055,477000.0
V000056,C003203,Volkswagen,Virtus,2016,REG-V-000056,673000.0
V000057,C005818,Toyota,Glanza,2021,REG-V-000057,1419000.0
V000058,C000880,Honda,City,2019,REG-V-000058,736000.0
V000059,C008128,Volkswagen,Virtus,2019,REG-V-000059,945000.0
V000060,C009592,Mahindra,XUV300,2020,REG-V-000060,652000.0
V000061,C000945,Mahindra,Bolero,2024,REG-V-000061,1632000.0
V000062,C007376,Volkswagen,Taigun,2023,REG-V-000062,1302000.0
V000063,C008641,Tata,Altroz,2019,REG-V-000063,1083000.0
V000064,C001096,Tata,Punch,2015,REG-V-000064,312000.0
V000065,C002489,Maruti Suzuki,Swift,2019,REG-V-000065,536000.0
V000066,C003933,Toyota,Innova,2021,REG-V-000066,1195000.0
V000067,C008405,Mahindra,Bolero,2017,REG-V-000067,1179000.0
V000068,C004975,Hyundai,i20,2015,REG-V-000068,427000.0
V000069,C001374,Kia,Sonet,2024,REG-V-000069,1635000.0
V000070,C002578,Tata,Altroz,2025,REG-V-000070,1165000.0
V000071,C004713,Mahindra,Scorpio,2015,REG-V-000071,824000.0
V000072,C000403,Tata,Altroz,2018,REG-V-000072,855000.0
V000073,C006347,Volkswagen,Virtus,2013,REG-V-000073,715000.0
V000074,C000271,Honda,Amaze,2012,REG-V-000074,556000.0
V000075,C007882,Hyundai,Venue,2012,REG-V-000075,274000.0
V000076,C007395,Maruti Suzuki,Baleno,2021,REG-V-000076,427000.0
V000077,C008690,Toyota,Glanza,2020,REG-V-000077,1403000.0
V000078,C001572,Tata,Nexon,2021,REG-V-000078,627000.0
V000079,C006068,Honda,City,2018,REG-V-000079,800000.0
V000080,C007883,Honda,Civic,2018,REG-V-000080,760000.0
V000081,C005190,Honda,Amaze,2014,REG-V-000081,443000.0
V000082,C001312,Kia,Seltos,2023,REG-V-000082,820000.0
V000083,C001002,Toyota,Fortuner,2014,REG-V-000083,844000.0
V000084,C006102,Honda,Amaze,2013,REG-V-000084,364000.0
V000085,C005024,Hyundai,Creta,2018,REG-V-000085,586000.0
V000086,C009328,Tata,Nexon,2018,REG-V-000086,485000.0
V000087,C008376,Toyota,Fortuner,2021,REG-V-000087,983000.0
V000088,C007295,Honda,Amaze,2015,REG-V-000088,577000.0
V000089,C009821,Maruti Suzuki,Ertiga,2023,REG-V-000089,540000.0
V000090,C006986,Kia,Sonet,2019,REG-V-000090,934000.0
V000091,C000926,Hyundai,i10,2023,REG-V-000091,684000.0
V000092,C000790,Mahindra,Bolero,2025,REG-V-000092,1488000.0
V000093,C008207,Volkswagen,Taigun,2018,REG-V-000093,819000.0
V000094,C003611,Tata,Punch,2019,REG-V-000094,416000.0
V000095,C009276,Maruti Suzuki,Ertiga,2024,REG-V-000095,533000.0
V000096,C001180,Maruti Suzuki,Swift,2016,REG-V-000096,484000.0
V000097,C001998,Maruti Suzuki,Brezza,2024,REG-V-000097,730000.0
V000098,C007801,Honda,Civic,2014,REG-V-000098,461000.0
V000099,C008520,Volkswagen,Taigun,2023,REG-V-000099,1450000.0
V000100,C008715,Kia,Seltos,2015,REG-V-000100,747000.0
V000101,C001004,Tata,Tiago,2021,REG-V-000101,957000.0
